Time,Total,Builders,Academic,Army,Rank
04/26/2021,899,442,51,0,420
04/26/2021,888,442,51,0,400
04/27/2021,1422,718,72,0,348
04/27/2021,1466,743,72,0,347
04/27/2021,1546,756,72,14,344
04/27/2021,1736,868,93,11,338
04/28/2021,1842,935,93,17,332
04/28/2021,1879,963,93,17,329
04/28/2021,2183,1161,93,11,318
04/28/2021,2279,1222,93,0,317
04/28/2021,2306,1231,93,0,316
04/28/2021,2419,1287,137,3,313
04/28/2021,2541,1374,137,6,311
04/28/2021,2611,1406,137,6,310
04/28/2021,2807,1522,166,10,303
04/29/2021,3005,1587,166,10,299
04/30/2021,3855,2250,211,15,285
04/30/2021,4197,2463,255,9,279
05/01/2021,4579,2762,308,7,275
05/01/2021,4753,2852,308,7,268
05/01/2021,4982,2999,365,7,265
05/01/2021,5155,3118,365,7,262
05/02/2021,5599,3484,365,0,260
05/02/2021,5840,3648,430,0,255
05/02/2021,6129,3916,430,0,251
05/02/2021,6572,4370,430,0,246
05/02/2021,6772,4531,430,0,243
05/03/2021,7312,4951,430,0,240
05/03/2021,7647,5147,517,0,238
05/03/2021,7901,5357,517,0,233
05/03/2021,8100,5460,582,0,230
05/03/2021,8399,5714,582,0,229
05/04/2021,9370,6544,582,0,219
05/04/2021,9659,6696,655,0,216
05/04/2021,9891,6897,655,0,212
05/04/2021,10375,7271,655,0,211
05/05/2021,11082,7869,655,0,209
05/05/2021,11668,8335,655,0,206
05/06/2021,12829,9017,799,0,202
05/06/2021,13026,9017,973,0,202
05/06/2021,13497,9453,973,0,198
05/07/2021,14584,10250,973,0,195
05/07/2021,14765,10250,1114,0,193
05/07/2021,15345,10786,1114,0,191
05/08/2021,17508,12357,1419,0,191
05/08/2021,18005,12943,1419,0,181
05/09/2021,18171,13072,1419,0,179
05/09/2021,18286,13165,1419,0,179
05/09/2021,18923,13320,1419,375,178
05/09/2021,19043,13401,1419,375,178
05/09/2021,19106,13453,1419,375,177
05/09/2021,19203,13531,1419,375,177
05/09/2021,19473,13747,1419,375,176
05/09/2021,19994,14016,1617,375,175
05/10/2021,20006,14016,1618,375,175
05/10/2021,20727,14666,1618,375,173
05/10/2021,21029,14952,1618,373,170
05/10/2021,21234,15167,1618,516,169
05/10/2021,21548,15466,1618,513,167
05/11/2021,22188,15820,1833,653,164
05/11/2021,22222,15841,1833,653,163
05/11/2021,22336,16220,1833,388,162
05/11/2021,22586,16452,1833,388,162
05/11/2021,22867,16613,1833,529,161
05/11/2021,23341,16974,1833,641,160
05/12/2021,23445,17159,1833,764,159
05/12/2021,24276,17590,2065,796,157
05/12/2021,24739,17610,2065,1205,155
05/12/2021,25453,18314,2065,1205,155
05/13/2021,26589,20011,2065,202,154
05/13/2021,28620,21408,2364,498,149
05/13/2021,28701,21487,2364,498,148
05/13/2021,28783,21564,2364,498,148
05/14/2021,29478,22368,2364,479,149
05/14/2021,29628,22511,2364,470,148
05/15/2021,30066,22711,2364,626,145
05/15/2021,31323,23539,2762,619,140
05/15/2021,31622,23839,2762,619,139
05/16/2021,32115,24323,2762,619,139
05/16/2021,33428,25528,2762,594,138
05/16/2021,34145,26246,2762,541,138
05/17/2021,35102,26894,2762,805,135
05/17/2021,35553,26984,3103,773,133
05/17/2021,35945,27311,3103,773,132
05/17/2021,36255,27611,3103,773,132
05/18/2021,36499,27766,3103,777,132
05/18/2021,37469,28509,3501,489,132
05/19/2021,38503,29364,3501,514,132
05/20/2021,39206,29952,3501,514,132
05/20/2021,40432,30678,3929,508,132
05/21/2021,41113,31376,3929,486,131
05/21/2021,41607,31746,3929,486,129
05/21/2021,42652,32716,3929,486,128
05/22/2021,43226,33173,3929,486,128
05/22/2021,44080,33916,3929,570,124
05/23/2021,46083,35773,3929,570,120
05/24/2021,47156,36815,3929,570,119
05/24/2021,48242,37877,3929,570,119
05/24/2021,49949,39521,3929,570,117
05/25/2021,51289,40774,3929,570,112
05/25/2021,52997,41475,4869,561,112
05/26/2021,54102,42586,4869,452,108
05/26/2021,55735,43647,5381,452,108
05/26/2021,56241,44100,5381,452,108
05/27/2021,57136,44961,5381,452,106
05/28/2021,59158,46403,5894,452,102
05/28/2021,60390,47496,5894,587,102
05/29/2021,63264,50385,5894,329,100
05/30/2021,65488,51068,6533,1769,96
05/31/2021,65757,52107,6533,2334,96
06/03/2021,58145,44369,7301,1283,110
06/03/2021,55004,41200,8069,1283,112
06/04/2021,57499,42475,9006,1563,111
06/08/2021,58580,43454,10066,634,111
06/11/2021,63534,46182,11026,756,110
06/11/2021,64083,46810,11026,756,109
06/11/2021,64509,47175,11026,756,109
06/13/2021,66194,47663,11986,756,107
06/14/2021,71076,52183,11986,756,100
06/16/2021,76529,56112,13106,755,98
06/19/2021,84176,63029,13106,1075,95
06/21/2021,94018,70484,14971,1166,89
06/27/2021,109018,80946,17371,1980,82
07/02/2021,129015,100533,19331,374,76
07/06/2021,143359,113976,19331,665,71
07/08/2021,160932,128498,22225,873,62
07/08/2021,160932,128498,22225,873,64
07/12/2021,182228,147673,24357,1137,63
07/14/2021,194159,156385,24357,3707,60
07/15/2021,200769,160159,26488,4614,59
